Année,Type de contrôle,Organismes,Lieu de contrôle,Département,"Secteur d'activité 
de l'organisme"
2015,contrôle en ligne,WWW.SERVICES.VILLE-NEVERS.FR ,Paris,75,Collectivités locales
2015,contrôle en ligne,SIDA-INFO-SERVICE.ORG,Paris,75,Santé/ social
2015,contrôle en ligne,GHAZLI.COM,Paris,75,Santé/ social
2015,contrôle en ligne,GHAZLI.COM,Paris,75,Santé/ social
2015,contrôle en ligne,GHAZLI.COM,Paris,75,Santé/ social
2015,contrôle en ligne,WWW.REDON.FR,Paris,75,Collectivités locales
2015,contrôle en ligne,MARSEILLESERVICES.FR,Paris,75,Collectivités locales
2015,contrôle en ligne,METZ.FR,Paris,75,Collectivités locales
2015,contrôle en ligne,BORDEAUX.FR,Paris,75,Collectivités locales
2015,contrôle en ligne,VILLECOURBEVOIE.FR,Paris,75,Collectivités locales
2015,contrôle en ligne,VILLEDELENS.FR,Paris,75,Collectivités locales
2015,contrôle en ligne,NEUILLYSURSEINE.FR,Paris,75,Collectivités locales
2015,contrôle en ligne,MAIRIE-DEAUVILLE.FR,Paris,75,Collectivités locales
2015,contrôle en ligne,CETELEM.FR,Paris,75,Banques
2015,contrôle en ligne,CETELEM.FR,Paris,75,Banques
2015,contrôle en ligne,BREST-METROPOLE-OCEANE.FR,Paris,75,Collectivités locales
2015,contrôle en ligne,NANTES.FR,Paris,75,Collectivités locales
2015,contrôle en ligne,VILLE-EVIAN.FR,Paris,75,Collectivités locales
2015,contrôle en ligne,COFINOGA.FR,Paris,75,Banques
2015,contrôle en ligne,VITRY94.FR,Paris,75,Collectivités locales
2015,contrôle en ligne,SOFINCO.FR,Paris,75,Banques
2015,contrôle en ligne,TOURS.FR,Paris,75,Collectivités locales
2015,contrôle en ligne,TRAITEMENT IP DU 11 FÉVRIER 2015,Paris,75,Commerce
2015,contrôle en ligne,VANVES.FR,Paris,75,Collectivités locales
2015,contrôle en ligne,BANQUE-CASINO.FR,Paris,75,Commerce
2015,contrôle en ligne,CARREFOUR-BANQUE.FR,Paris,75,Commerce
2015,contrôle en ligne,ERDF.FR,Paris,75,Commerce
2015,contrôle en ligne,TRAITEMENT IP DU 18 FÉVRIER 2015,Paris,75,Commerce
2015,contrôle en ligne,TRAITEMENT IP DU 18 FÉVRIER 2015,Paris,75,Commerce
2015,contrôle en ligne,OFFICIERSDEPORT-CGT.FR,Paris,75,Santé/ social
2015,contrôle en ligne,VERSAILLES.FR,Paris,75,Collectivités locales
2015,contrôle en ligne,EXPENLI.COM,Paris,75,Commerce
2015,contrôle en ligne,INSPI.FR,Paris,75,Education/culture/sport
2015,contrôle en ligne,EPITECH.EU,Paris,75,Education/culture/sport
2015,contrôle en ligne,GEMONEYBANK.FR,Paris,75,Commerce
2015,contrôle en ligne,COFIDIS.FR,Paris,75,Commerce
2015,contrôle en ligne,CEVU.U-CERGY.FR,Paris,75,Education/culture/sport
2015,contrôle en ligne,ARCAULNAY.FR,Paris,75,Education/culture/sport
2015,contrôle en ligne,PHOTO.AUCHAN.FR,Paris,75,Commerce
2015,contrôle en ligne,PHOTO.AUCHAN.FR,Paris,75,Commerce
2015,contrôle en ligne,CENTRALEPNEUS.FR,Paris,75,Commerce
2015,contrôle en ligne,ALLOPNEUS.COM,Paris,75,Commerce
2015,contrôle en ligne,PHOTOSERVICE.COM,Paris,75,Commerce
2015,contrôle en ligne,PASTEUR-LILLE.FR,Paris,75,Santé/ social
2015,contrôle en ligne,CNCN.FR,Paris,75,Santé/ social
2015,contrôle en ligne,TEST-CLINIQUE.FR,Paris,75,Santé/ social
2015,contrôle en ligne,EUROSAFE.FR,Paris,75,Santé/ social
2015,contrôle en ligne,INTERTEK-ETUDESCLINIQUES.COM,Paris,75,Santé/ social
2015,contrôle en ligne, PHOTOBOX.FR,Paris,75,Commerce
2015,contrôle en ligne,MYPIX.COM,Paris,75,Commerce
2015,contrôle en ligne,PAIEMENT-CFR.COM,Paris,75,Commerce
2015,contrôle en ligne,PHOTOWEB.FR,Paris,75,Commerce
2015,contrôle en ligne,MAIRIE DE PARIS,Paris,75,Santé/ social
2015,contrôle en ligne,FORTUNEO.FR,Paris,75,Banques
2015,contrôle en ligne,NEUFMOIS.FR,Paris,75,Télécommunications
2015,contrôle en ligne,PLANET.VERTBAUDET.COM,Paris,75,Télécommunications
2015,contrôle en ligne,PLANET.VERTBAUDET.COM,Paris,75,Télécommunications
2015,contrôle en ligne,MAMAN.FR,Paris,75,Télécommunications
2015,contrôle en ligne,MAMAN.FR,Paris,75,Télécommunications
2015,contrôle en ligne,MAGICMAMAN.COM,Paris,75,Télécommunications
2015,contrôle en ligne,MAGICMAMAN.COM,Paris,75,Télécommunications
2015,contrôle en ligne,KELBILLET.COM,Paris,75,Transport
2015,contrôle en ligne,KELBILLET.COM,Paris,75,Transport
2015,contrôle en ligne,MONALBUMPHOTO.FR,Paris,75,Télécommunications
2015,contrôle en ligne,BOULANGER.FR,Paris,75,Télécommunications
2015,contrôle en ligne,COVOITURAGE.FR,Paris,75,Commerce
2015,contrôle en ligne,"FORMALITES-CARTEGRISE.FR
(CARPE DIEM SAS)",Paris,75,Commerce
2015,contrôle en ligne,"FORMALITES-CARTEGRISE.FR
(CARPE DIEM SAS)",Paris,75,Commerce
2015,contrôle en ligne,VOTRE-CARTE-GRISE.COM,Paris,75,Commerce
2015,contrôle en ligne,VOTRE-CARTE-GRISE.COM,Paris,75,Commerce
2015,contrôle en ligne,"RICARD.COM
(RICARD S.A)",Paris,75,Commerce
2015,contrôle en ligne,"RICARD.COM
(RICARD S.A)",Paris,75,Commerce
2015,contrôle en ligne,CARTEGRISENATIONALE.FR,Paris,75,Transport
2015,contrôle en ligne,COURSES.MONOPRIX.FR,Paris,75,Commerce
2015,contrôle en ligne,COURSES.CARREFOUR.FR,Paris,75,Commerce
2015,contrôle en ligne,"SUNLAND.FR
 (SARL JMB)",Paris,75,Commerce
2015,contrôle en ligne,"AUBERT.COM
(AUBERT FRANCE)",Paris,75,Commerce
2015,contrôle en ligne,RÉPUBLICAINS.FR,Paris,75,Télécommunications
2015,contrôle en ligne,PARTI-SOCIALISTE.FR,Paris,75,Télécommunications
2015,contrôle en ligne,PARTI-SOCIALISTE.FR,Paris,75,Télécommunications
2015,contrôle en ligne,YATEDO.FR,Paris,75,Commerce
2015,contrôle en ligne,MARIANNE.NET,Paris,75,Commerce
2015,contrôle en ligne,COURSEU.COM,Paris,75,Commerce
2015,contrôle en ligne,STILLINCONTACT.COM,Paris,75,Education/culture/sport
2015,contrôle en ligne,INTRUM.COM,Paris,75,Banques
2015,contrôle en ligne,ESPACE-LAVERIE.NET,Paris,75,Commerce
2015,contrôle en ligne,FFTRI.COM,Paris,75,Education/culture/sport
2015,contrôle en ligne,FFN.EXTRANAT.FR,Paris,75,Education/culture/sport
2015,contrôle en ligne,CHATEAUVERSAILLES-SPECTACLES.FR,Paris,75,Commerce
2015,contrôle en ligne,BILLETREDUC.COM,Paris,75,Commerce
2015,contrôle en ligne,EELV.FR,Paris,75,Télécommunications
2015,contrôle en ligne,ADHESION-FN.COM,Paris,75,Télécommunications
2015,contrôle en ligne,ADHESION-FN.COM,Paris,75,Télécommunications
2015,contrôle en ligne,COACHCLUB.COM,Paris,75,Commerce
2015,contrôle en ligne,PASTEL.DIPLOMATIE.GOUV.FR,Paris,75,Police/ justice/ sécurité
2015,contrôle en ligne,VOISINSVIGILANTS.ORG,Paris,75,Commerce
2015,contrôle en ligne,FITNEXT.COM,Paris,75,Commerce
2015,contrôle en ligne,SCR-RECOUVREMENT.COM,Paris,75,Commerce
2015,contrôle en ligne,BIOMOUV.COM,Paris,75,Commerce
2015,contrôle en ligne,ACTUGAMING.NET,Paris,75,Commerce
2015,contrôle en ligne,MAISONS-KERBEA.FR,Paris,75,Commerce
2015,contrôle en ligne,MAISONS-KERBEA.FR,Paris,75,Commerce
2015,contrôle en ligne,MASANTENET.COM,Paris,75,Santé/ social
2015,contrôle en ligne,PARTI-UDI.FR,Paris,75,Télécommunications
2015,contrôle en ligne,BEXLEY.FR,Paris,75,Commerce
2015,contrôle en ligne,VOISINSVIGILANTS.ORG,Paris,75,Commerce
2015,contrôle en ligne,PCF.FR,Paris,75,Télécommunications
2015,contrôle en ligne,PIANEOJOBS.COM,Paris,75,Commerce
2015,contrôle en ligne,CHEVALANNONCE.COM,Paris,75,Commerce
2015,contrôle en ligne,MAISONSDUMONDE.FR,Paris,75,Commerce
2015,contrôle en ligne,STARTPEOPLE.FR,Paris,75,Commerce
2015,contrôle en ligne,PASSEPORTSANTE.NET,Paris,75,Santé/ social
2015,contrôle en ligne,DÉCATHLON.FR,Paris,75,Commerce
2015,contrôle en ligne,CHAINEO.FR,Paris,75,Télécommunications
2015,contrôle en ligne,VENTE-UNIQUE.COM,Paris,75,Commerce
2015,contrôle en ligne,ETAM.COM,Paris,75,Commerce
2015,contrôle en ligne,ROULAGEPISTE.FR,Paris,75,Commerce
2015,contrôle en ligne,FACEBOOK.COM,Paris,75,Télécommunications
2015,contrôle en ligne,FACEBOOK.COM,Paris,75,Télécommunications
2015,contrôle en ligne,IKOULA.COM,Paris,75,Télécommunications
2015,contrôle en ligne,NUXIT.COM,Paris,75,Télécommunications
2015,contrôle en ligne,MATELSOM.COM,Paris,75,Commerce
2015,contrôle en ligne,MATELPRO.COM,Paris,75,Commerce
2015,contrôle en ligne,DEVRED.COM,Paris,75,Commerce
2015,contrôle en ligne,WWW.REUNIONSDECONSOMMATEURS.COM,Paris,75,Télécommunications
2015,contrôle en ligne,JULES.COM,Paris,75,Commerce
2015,contrôle en ligne,JULES.COM,Paris,75,Commerce
2015,contrôle en ligne,BRICE.FR,Paris,75,Commerce
2015,contrôle en ligne,LAUTOENTREPRENEUR.FR,Paris,75,Commerce
2015,contrôle en ligne,CORSICADIASPORA.COM,Paris,75,Commerce
2015,contrôle en ligne,PARLONSJARDIN.FR,Paris,75,Commerce
2015,contrôle en ligne,NOCIBE.FR,Paris,75,Commerce
2015,contrôle en ligne,MIDAS.FR,Paris,75,Commerce
2015,contrôle en ligne,NORAUTO.FR,Paris,75,Commerce
2015,contrôle en ligne,CAMAIEU.FR,Paris,75,Commerce
2015,contrôle en ligne,MEDECINDIRECT.FR,Paris,75,Santé/ social
2015,contrôle en ligne,LE-RSI.FR,Paris,75,Santé/ social
2015,contrôle en ligne,OOSHOP.COM,Paris,75,Commerce
2015,contrôle en ligne,FRANDROID.COM,Paris,75,Commerce
2015,contrôle en ligne,OVH.COM,Paris,75,Télécommunications
2015,contrôle en ligne,GANDI.NET,Paris,75,Télécommunications
2015,contrôle en ligne,83140INFO.COM,Paris,75,Collectivités locales
2015,contrôle en ligne,COMPTOIRDESCOTONNIERS.COM,Paris,75,Commerce
2015,contrôle en ligne,ONLINE.NET,Paris,75,Télécommunications
