"Année","Type de contrôle","Organismes","Lieu de contrôle","Département","Secteur d'activité de l'organisme"
2016,"loi 78","CAISSE NATIONALE DE L'ASSURANCE MALADIE DES TRAVAILLEURS SALARIES -SNIIRAM","EVREUX",27,"Santé/social"
2016,"loi 78","CAISSE NATIONALE DE L'ASSURANCE MALADIE DES TRAVAILLEURS SALARIES -SNIIRAM","EVREUX",27,"Santé/social"
2016,"loi 78","CAISSE NATIONALE DE L'ASSURANCE MALADIE DES TRAVAILLEURS SALARIES -SNIIRAM","PARIS",75,"Santé/social"
2016,"loi 78","CAISSE NATIONALE DE L'ASSURANCE MALADIE DES TRAVAILLEURS SALARIES -SNIIRAM","PARIS",75,"Santé/social"
2016,"loi 78","EUROPE 1 TELECOMPAGNIE","PARIS",75,"Commerce"
2016,"loi 78","NEXTRADIOTV","PARIS",75,"Commerce"
2016,"loi 78","CCN RADIO (SKYROCK) ","PARIS",75,"Commerce"
2016,"loi 78","TOOL-FITNESS.COM","PARIS",75,"Commerce"
2016,"loi 78","SERENI DOM ","VALENCE",26,"Commerce"
2016,"loi 78","PREFECTURE DU MAINE ET LOIRE","ANGERS",49,"Police/justice/sécurité"
2016,"loi 78","PREFECTURE DE POLICE 
(FINIADA)","PARIS",75,"Police/justice/sécurité"
2016,"loi 78","EGO FINANCES 
(FINIADA)","PARIS",75,"Police/justice/sécurité"
2016,"loi 78","ENEDIS","COURBEVOIE",92,"Commerce"
2016,"loi 78","MINISTERE DE L'INTERIEUR DE L'OUTRE MER ET DES COLLECTIVITES TERRITORIALES","NANTERRE",92,"Police/justice/sécurité"
2016,"loi 78","MINISTERE DE L'INTERIEUR-SERVICE DES TECHNOLOGIES ET DES SYSTEMES D'INFORMATION","ISSY LES MOULINEAUX",92,"Police/justice/sécurité"
2016,"loi 78","MINISTERE DE L'INTERIEUR-SERVICE DES TECHNOLOGIES ET DES SYSTEMES D'INFORMATION","PARIS",75,"Police/justice/sécurité"
2016,"loi 78","MINISTERE DE L'INTERIEUR - DIRECTION GENERALE DE LA POLICE NATIONALE - DIRECTION CENTRALE DE LA POLICE JUDICIAIRE - DIVISION DES RELATIONS INTERNATIONALES","NANTERRE",92,"Police/justice/sécurité"
2016,"loi 78","MINISTERE DE L'INTERIEUR - SOUS DIRECTION DE LA POLICE TECHNIQUE ET SCIENTIFIQUE","ECULLY",69,"Police/justice/sécurité"
2016,"loi 78","MINISTERE DE L'INTERIEUR - BUREAU SIRENE","NANTERRE",92,"Police/justice/sécurité"
2016,"loi 78","COMMUNE DE SANNOIS","SANNOIS",95,"Commerce"
2016,"loi 78","KANGOUROUGE","MARSEILLE",13,"Collectivités locales"
2016,"loi 78","BANIJAY PRODUCTIONS FRANCE ","BOULOGNE BILLANCOURT",92,"Commerce"
2016,"loi 78","STUDIO 89 PRODUCTIONS","NEUILLY SUR SEINE",92,"Commerce"
2016,"loi 78","STUDIO 89 PRODUCTIONS","NEUILLY SUR SEINE",92,"Commerce"
2016,"loi 78","FEDERATION FRANCAISE DE PETANQUE ET DE JEU PROVENCAL (FFPJP)","MARSEILLE",13,"Commerce"
2016,"loi 78","FREMANTLE MEDIA FRANCE ","PARIS",75,"Commerce"
2016,"loi 78","OUICAR","PARIS",75,"Commerce"
2016,"loi 78","MINISTERE DES AFFAIRES ETRANGERES - CONTRÔLE DU SYSTÈME D'INFORMATION SUR LES VISAS (VIS)","PARIS",75,"Police/justice/sécurité"
2016,"loi 78","LA GROSSE EQUIPE","BOULOGNE BILLANCOURT",92,"Commerce"
2016,"loi 78","AH PRODUCTION","BOULOGNE BILLANCOURT",92,"Commerce"
2016,"loi 78","BIEN A LA MAISON","LEVALLOIS PERRET",92,"Commerce"
2016,"loi 78","HELPLING FRANCE ","PARIS",75,"Commerce"
2016,"loi 78","UBISOFT ENTERTAINMENT SA","MONTREUIL",93,"Commerce"
2016,"loi 78","ZENLY","PARIS",75,"Commerce"
2016,"loi 78","02 DEVELOPPEMENT","LE MANS",72,"Commerce"
2016,"loi 78","CHOUETTES SERVICES","DIJON",21,"Commerce"
2016,"loi 78","MUTUELLE KLESIA SAINT GERMAIN","PARIS",75,"Santé/social"
2016,"loi 78","FIGAROMEDIAS","PARIS",75,"Commerce"
2016,"loi 78","FIGAROMEDIAS","PARIS",75,"Commerce"
2016,"loi 78","1000MERCIS","PARIS",75,"Commerce"
2016,"loi 78","ORACLE","COLOMBES",92,"Commerce"
2016,"loi 78","EXPERIAN FRANCE","COURBEVOIE",92,"Commerce"
2016,"loi 78","INSTITUT D'ETUDES POLITIQUES DE PARIS","PARIS",75,"Education/culture/sport"
2016,"loi 78","APPLICATION KNOCKIN","PARIS",75,"Commerce"
2016,"loi 78","WEBORAMA","PARIS",75,"Commerce"
2016,"loi 78","CHANGE.ORG WORLDWIDE LIMITED ","PARIS",75,"Commerce"
2016,"loi 78","FAMILY SPHERE","PARIS",75,"Commerce"
2016,"loi 78","DATA XU","PARIS",75,"Commerce"
2016,"loi 78","TRADE DESK","PARIS",75,"Commerce"
2016,"loi 78","CENTRO INC ""SITE SCOUT""","PARIS",75,"Commerce"
2016,"loi 78","RADIUM ONE","PARIS",75,"Commerce"
2016,"loi 78","INSTITUT SUPERIEUR DE COMMUNICATION ET PUBLICITE (ISCOM)","PARIS",75,"Education/culture/sport"
2016,"loi 78","CRITEO","PARIS",75,"Commerce"
2016,"loi 78","CRITEO","PARIS",75,"Commerce"
2016,"loi 78","MERCI+SERVICE","MULHOUSE",68,"Commerce"
2016,"loi 78","SAS BRIOTET SEMECOURT","SEMECOURT",57,"Commerce"
2016,"loi 78","RENAULT CALAIS","COQUELLES",62,"Police/justice/sécurité"
2016,"loi 78","NORAUTO CALAIS COQUELLES","CALAIS",62,"Police/justice/sécurité"
2016,"loi 78","LES CHEVRONS SOFIDA CALAIS","CALAIS",62,"Police/justice/sécurité"
2016,"loi 78","APPNEXUS","PARIS",75,"Commerce"
2016,"loi 78","DIRECT ENERGIE","PARIS",75,"Commerce"
2016,"loi 78","LDLC.COM","DARDILLY",69,"Commerce"
2016,"loi 78","COMMUNE DE LAMBERSART","LAMBERSART",59,"Police/justice/sécurité"
2016,"loi 78","BARTHEL FRERES SAS","LE BAN SAINT MARTIN",57,"Commerce"
2016,"loi 78","PREFECTURE DE LILLE","LILLE",59,"Police/justice/sécurité"
2016,"loi 78","ELECTRICITE DE FRANCE","PARIS",75,"Commerce"
2016,"loi 78","BEALDER","LYON",69,"Commerce"
2016,"loi 78","ASSISTANCE CENTRE D'APPEL (ACA)","GOUSSAINVILLE",95,"Commerce"
2016,"loi 78","LOCAREVI","ESCAUDAIN",59,"Commerce"
2016,"loi 78","ASCO INDUSTRIES","LEFFRINCKOUCKE",59,"Commerce"
2016,"loi 78","55 SAS","PARIS",75,"Commerce"
2016,"loi 78","HERTZ FRANCE","MONTIGNY LE BRETONNEUX",78,"Commerce"
2016,"loi 78","THE MIT COMPANY","SEVRES",92,"Commerce"
2016,"loi 78","MINISTERE DU LOGEMENT","PUTEAUX",92,"Santé/social"
2016,"loi 78","AMB FORMATIONS","PARIS",75,"Commerce"
2016,"loi 78","AMB FORMATIONS","PARIS",75,"Collectivités locales"
2016,"loi 78","COMMUNE DE QUIEVRECHAIN","QUIEVRECHAIN",59,"Collectivités locales"
2016,"loi 78","DRIVY","PARIS",75,"Commerce"
2016,"loi 78","ASSOCIATION BOUCHES DU RHONE TOURISME","MARSEILLE",13,"Collectivités locales"
2016,"loi 78","CASTORAMA FRANCE","TEMPLEMARS",59,"Commerce"
2016,"loi 78","PN DATA","MARCQ EN BAROEUL",59,"Commerce"
2016,"loi 78","MINISTERE DE L'ENVIRONNEMENT DE L'ENERGIE ET DE LA MER","PUTEAUX",92,"Commerce"
2016,"loi 78","BRAND & CONSUMERS TECHNOLOGIES","ISSY LES MOULINEAUX",92,"Commerce"
2016,"loi 78","KANTAR WORLDPANEL FRANCE","CHAMBOURCY",78,"Commerce"
2016,"loi 78","PRIMAIRES DE LA DROITE ET DU CENTRE","BAILLEUL",59,"Politique"
2016,"loi 78","KIABI EUROPE","HEM",59,"Commerce"
2016,"loi 78","44 GALERIES LAFAYETTE - 44 GL","PARIS",75,"Commerce"
2016,"loi 78","GROUPE LA POSTE ","LIBOURNE",33,"Commerce"
2016,"loi 78","INSTA MAIL MEDIA","PARIS",75,"Commerce"
2016,"loi 78","FORD BYmyCAR Lyon Sud","VENISSIEUX",69,"Commerce"
2016,"loi 78","NORAUTO VENISSIEUX","VENISSIEUX",69,"Commerce"
2016,"loi 78","FEU VERT","VENISSIEUX",69,"Commerce"
2016,"loi 78","GAD","MONTREUIL",93,"Commerce"
2016,"loi 78","3 SUISSES","CROIX",59,"Commerce"
2016,"loi 78","3 SUISSES","CROIX",59,"Commerce"
2016,"loi 78","LAPRIMAIRE.ORG","PARIS",75,"Politique"
2016,"loi 78","AIR FRANCE ","TREMBLAY EN France",93,"Commerce"
2016,"loi 78","QAPA ","PARIS",75,"Commerce"
2016,"loi 78","DAILYMOTION","PARIS",75,"Commerce"
2016,"loi 78","COMMUNE DE LA GARENNE COLOMBES","LA  GARENNE COLOMBES",92,"Collectivités locales"
2016,"vidéo","SPORT 33 - LE METROPOLE","BORDEAUX",33,"Commerce"
2016,"vidéo","TENDANCE FASHION","NANTERRE",92,"Commerce"
2016,"vidéo","TENDANCE FASHION","PARIS",75,"Commerce"
2016,"vidéo","MUSEE DES CONFLUENCES","LYON",69,"Education/culture/sport"
2016,"vidéo","COMMUNE DE SEVRES","SEVRES",92,"Collectivités locales"
2016,"vidéo","COMMUNE DE RAMBOUILLET","RAMBOUILLET",78,"Collectivités locales"
2016,"vidéo","SARL RUSSO","SPICHEREN ET GROSBLIEDERSTROFF",57,"Commerce"
2016,"vidéo","SARL RUSSO","SPICHEREN ET GROSBLIEDERSTROFF",57,"Commerce"
2016,"vidéo","COMMUNE DE FORBACH","FORBACH",57,"Collectivités locales"
2016,"vidéo","MUSEE NATIONAL DES ARTS ASIATIQUES GUIMET","PARIS",75,"Education/culture/sport"
2016,"vidéo","COMMUNE DE SALLANCHES","SALLANCHES",74,"Collectivités locales"
2016,"vidéo","COMMUNE DE BOBIGNY","BOBIGNY",93,"Collectivités locales"
2016,"vidéo","COMMUNE DE PIERREFITTE SUR SEINE ","PIERREFITTE SUR SEINE",93,"Collectivités locales"
2016,"vidéo","COMMUNE DE MEUDON","MEUDON",92,"Collectivités locales"
2016,"vidéo","LA POSTE ","AVIGNON",84,"Commerce"
2016,"vidéo","LA POSTE","GENNEVILLIERS",92,"Commerce"
2016,"vidéo","LA POSTE","FECAMP",76,"Commerce"
2016,"vidéo","LA POSTE","LA ROCHE SUR YON",85,"Commerce"
2016,"vidéo","LA POSTE","PUTEAUX",92,"Commerce"
2016,"vidéo","SERVICE DEPARTEMENTAL INCENDIE ET SECOURS DES PYRENEES ORIENTALES","PERPIGNAN",66,"Police/justice/sécurité"
2016,"vidéo","COMMUNE DE SENS","SENS",89,"Collectivités locales"
2016,"vidéo","COMMUNE DE PROVINS","PROVINS",77,"Collectivités locales"
2016,"vidéo","COMMUNE DE GIEN","GIEN",45,"Collectivités locales"
2016,"vidéo","COMMUNE D'AVIGNON","AVIGNON",84,"Collectivités locales"
2016,"vidéo","COMMUNE DE CARPENTRAS","CARPENTRAS",84,"Collectivités locales"
2016,"vidéo","COMMUNE DU BLANC MESNIL","LE BLANC MESNIL",93,"Collectivités locales"
2016,"vidéo","COMMUNE DU BLANC MESNIL","LE BLANC MESNIL",93,"Collectivités locales"
2016,"vidéo","FRENCH TROTTERS","PARIS",75,"Commerce"
2016,"vidéo","COMMUNE DE DUGNY","DUGNY",93,"Collectivités locales"
2016,"vidéo","COMMUNE DE HENIN BEAUMONT","HENIN BEAUMONT",62,"Collectivités locales"
2016,"vidéo","COMMUNE DE NOISY LE GRAND","NOISY LE GRAND",93,"Collectivités locales"
2016,"vidéo","DELKO MARSEILLE","MARSEILLE",13,"Commerce"
2016,"vidéo","INTERMARCHE SUPER","MARSEILLE",13,"Commerce"
2016,"vidéo","COMMUNE SULLY SUR LOIRE","SULLY SUR LOIRE",45,"Collectivités locales"
2016,"vidéo","COMMUNE DE SOISY SOUS MONTMORENCY","SOISY SOUS MONTMORENCY",95,"Collectivités locales"
2016,"vidéo","COMMUNE BONNY SUR LOIRE","BONNY SUR LOIRE",45,"Collectivités locales"
2016,"vidéo","HELMANI - CINEMA MEGA CGR LE Français","BORDEAUX",33,"Commerce"
2016,"vidéo","COMMUNE DE VILLETANEUSE","VILLETANEUSE",93,"Collectivités locales"
2016,"vidéo","COMMUNE DE GENNEVILLIERS","GENNEVILLIERS",92,"Collectivités locales"
2016,"vidéo","COMMUNE DE LIMOGES","LIMOGES",87,"Collectivités locales"
2016,"vidéo","COMMUNE DE ROANNE","ROANNE",42,"Collectivités locales"
2016,"vidéo","MERCURE ROYAL LIMOUSIN","LIMOGES",87,"Commerce"
2016,"vidéo","MUSEE DES BEAUX ARTS DE LIMOGES","LIMOGES",87,"Education/culture/sport"
2016,"vidéo","COMMUNE DE TARARE","TARARE",69,"Collectivités locales"
2016,"vidéo","CAPC MUSEE D'ART CONTEMPORAIN DE BORDEAUX","BORDEAUX",33,"Education/culture/sport"
2016,"vidéo","COMMUNE DE VAUCRESSON","VAUCRESSON",92,"Collectivités locales"
2016,"vidéo","HOPITAL EUROPEEN","MARSEILLE",13,"Santé/social"
2016,"vidéo","FALGAYRAS S.A.S","COLOMIERS",31,"Commerce"
2016,"vidéo","COMMUNE DE BOURG LA REINE","BOURG LA REINE",92,"Collectivités locales"
2016,"vidéo","COMMUNE DE REIMS","REIMS",51,"Collectivités locales"
2016,"vidéo","COMMUNE DES LILAS","LES LILAS",93,"Collectivités locales"
2016,"vidéo","COMMUNE DE CLICHY LA GARENNE","CLICHY LA GARENNE",92,"Collectivités locales"
2016,"vidéo","COMMUNE LE PRE SAINT GERVAIS","LE PRE SAINT GERVAIS",93,"Collectivités locales"
2016,"vidéo","COMMUNE DE CHÂTEAU THIERRY","CHATEAU THIERRY",2,"Collectivités locales"
2016,"vidéo","COMMUNE DE SAINT SAULVE","SAINT SAULVE",59,"Collectivités locales"
2016,"vidéo","COMMUNE DE BELLOT","BELLOT",77,"Collectivités locales"
2016,"vidéo","COMMUNE DE BOURG DE PEAGE","BOURG DE PEAGE",26,"Collectivités locales"
2016,"vidéo","COMMUNE DE MOUY","MOUY",60,"Collectivités locales"
2016,"vidéo","COMMUNE DE SAINT JUST EN CHAUSSEE","SAINT JUST EN CHAUSSEE",60,"Collectivités locales"
2016,"vidéo","COMMUNE DE BRETEUIL","BRETEUIL",60,"Collectivités locales"
2016,"vidéo","COMMUNE DE RUEIL MALMAISON","RUEIL MALMAISON",92,"Collectivités locales"
2016,"vidéo","CENTRE AQUATIQUE LE DOME DE VINCENNES","VINCENNES",94,"Education/culture/sport"
2016,"vidéo","COMMUNE DE VERNON","VERNON",27,"Collectivités locales"
2016,"vidéo","COMMUNE DE ROMAINVILLE","ROMAINVILLE",93,"Collectivités locales"
2016,"vidéo","MUSEE DES CIVILISATIONS DE L'EUROPE ET DE LA MEDITERRANEE (MUCEM)","MARSEILLE",13,"Education/culture/sport"
2016,"vidéo","COMMUNE DE POISSY","POISSY",78,"Collectivités locales"
2016,"vidéo","PALAIS FESH-MUSEE DES BEAUX-ARTS","AJACCIO",20,"Education/culture/sport"
2016,"vidéo","COMMUNE D'AJACCIO","AJACCIO",20,"Collectivités locales"
2016,"vidéo","COMMUNE DU MANS","LE MANS",72,"Collectivités locales"
2016,"vidéo","COMMUNE DE FORGES LES EAUX","FORGES LES EAUX",76,"Collectivités locales"
2016,"vidéo","COMMUNE DE GOURNAY EN BRAY","GOURNAY EN BRAY",76,"Collectivités locales"
2016,"vidéo","COMMUNE DE SENLIS","SENLIS",60,"Collectivités locales"
2016,"vidéo","COMMUNE DE PONT SAINTE MAXENCE","PONT SAINTE MAXENCE",60,"Collectivités locales"
2016,"vidéo","PREFECTURE DE POLICE DE PARIS","PARIS",75,"Police/justice/sécurité"
2016,"vidéo","PREFECTURE DE POLICE DE PARIS","PARIS",75,"Police/justice/sécurité"
2016,"vidéo","COMMUNE DE L'HAY LES ROSES"," L'HAY LES ROSES",94,"Collectivités locales"
